Nazwa,Telefon,Adres,"Godziny otwarcia","Strona internetowa","Opinia 1","Opinia 2","Opinia 3","Opinia 4","Opinia 5","Opinia 6",Typ,"Wysokość cen",Latitude,Longitude
"Firma złotnicza Waldemar Witkowski","882 633 822","Wolności 31A, 64-100 Leszno, Polska","poniedziałek: 10:30–16:30, wtorek: 10:30–16:30, środa: 10:30–16:30, czwartek: 10:30–16:30, piątek: 10:30–16:30, sobota: Zamknięte, niedziela: Zamknięte",,"Pan Waldemar podjął się zadania, którego odmówiło nam kilka innych firm złotniczych. Założenia nie były łatwe: (1) wykorzystać złoto o różnych kolorach i próbach po naszych dziadkach i pradziadkach; (2) zależało nam bardzo, żeby to było dokładnie to samo złoto, a nie - jak oferują inne firmy - jego ekwiwalent, a więc aby przetopić ilość tylko na nasze obrączki, a nie """"hurtowo"""", jak oferują inni złotnicy; (3) jakby tego było mało, chciałem oblec czerwone złoto białym złotem. Efekt jest niesamowity! Dziękujemy i chylimy czoła! Warto było przyjeżdżać z Warszawy :)","Kunszt techniczny w połączeniu , z artystycznym spojrzeniem , dają klientowi poczucie bezpieczeństwa🐸","Największy wybór obrączek złotych w mieście. Miła obsługa klienta. Polecam","Wykonano dla nas piękne obrączki w bardzo dobrej cenie. Polecamy",,,"jewelry_store, store, point_of_interest, establishment",,51.8441925,16.5750558
"Pracownia złotnicza","65 520 18 27","Królowej Jadwigi 14, 64-100 Leszno, Polska",,http://parksportowy.pl/,"Miła i fachowa obsługa.Polecam!",,,,,,"jewelry_store, store, point_of_interest, establishment",,51.842482,16.5784784
"Sawa Jerzy. Zakład złotniczo - grawerski","65 529 20 18","Karola Marcinkowskiego 18, 64-100 Leszno, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",,"Bardzo profesjonalne podejście do klienta. Usługa wykonana starannie i na umówiony termin. Ceny nie są wygórowane w porównaniu do jakości użytych materiałów i wykonanej pracy.","Miła obsługa, fachowa robota.",,,,,"jewelry_store, point_of_interest, store, establishment",,51.8458953,16.5745965
"F.H.U EKO Łukasz Rzepka","65 529 61 64","Pancernych 7, 64-100 Leszno, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://hurtowniaeko.pl/,"Dobra firma, dobry towar","Super asortyment",,,,,"jewelry_store, point_of_interest, store, establishment",,51.830096,16.586495
Briju,"691 457 339","Galeria Świdnicka, Westerplatte 29, 58-100 Świdnica, Polska","poniedziałek: 10:00–21:00, wtorek: 10:00–21:00, środa: 10:00–21:00, czwartek: 10:00–21:00, piątek: 10:00–21:00, sobota: 10:00–21:00, niedziela: 10:00–20:00",https://www.briju.pl/swidnica?utm_source=Google-MojaFirma&utm_medium=organic&utm_campaign=Google-MojaFirma-WitrynaURL,"Jestem stałym klientem Salonu w Swidnicy i musze stwierdzić,   ze nie tylko profesjonalizm obsugi ale  kultura osobista mnie urzekła. Polecam wszystkim zakupy","Gorąco zachęcam do odwiedzenia salonu , bardzo przyjemnie miejsce, duży wybór różnorodnej biżuterii a co ważne ,sympatyczne i pomocne panie. Zazwyczaj miałam przyjemność być obsługiwana przez panią Kingę ,którą polecam. Pani Kinga ma świetny gust i zawsze trafnie dopasuje doradzi co sprawdziło się już wielokrotnie. Dla niej osobne 5 ⭐️.","bardzo przyjemny salon. Panie uśmiechnięte z dużą cierpliwością do klienta. zawsze znajdę coś dla siebie i na prezent. biżuteria zawsze pięknie zapakowana. Polecam bardzo :)","Przemiła obsługa. Mialam okazje robić zakupy w salonie w Świdnicy kilka razy i Panie zawsze chętnie doradzają i pomagaja wybrać biżuterię tak, aby klientka była zadowolona 😊 POLECAM",,,"jewelry_store, store, point_of_interest, establishment",,50.8401187,16.4978198
"ARIKI - Jubiler Świdnica | Obrączki, Pierścionki zaręczynowe, Biżuteria - Świdnica","74 852 16 96","Komunardów 13, 58-100 Świdnica, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",,"Przepięknie wykonane obrączki ślubne! Jesteśmy bardzo zadowoleni, przemiła obsługa!","Jechałam specjalnie z Wrocławia do Państwa. Jestem zachwycona jakością i czasem realizacji zamówionych obrączek. Najlepszy jubiler u jakiego kiedykolwiek byłam","Realizowałem biżuterię na własny projekt. Jestem zachwycony efektem!","Zarówno szefowa, jak i Panie pracujące w salonie bardzo miłe, uprzejme i sympatyczne. Zawsze dobrze doradzą, terminy szybkie, wszystko na najwyższym poziomie. Gorąco polecam.",,,"jewelry_store, finance, store, point_of_interest, establishment",,50.845586,16.4805763
"Jubilerswidnica.pl | Szafir Bożenna Rosińska","505 074 495","Długa 15, 58-100 Świdnica, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.jubilerswidnica.pl/,"Jak zwykle się nie zawiodłam. Kolejny raz super doradzone, biżuteria pasuje mi pod każdym względem,Pani obsługująca uśmiechnięta i bardzo profesjonalna. Polecam z całego serca! Wrócę tu na pewno. Ps. Dziwnym zbiegiem okoliczności po jednej gwiazdce wystawiły osoby o tym samym nazwisku. Czyżby konkurencja? Dlaczego jedna gwiazdka nie jest uzasadniona?? W każdym razie, PROSZĘ SIĘ NIE SUGEROWAĆ A PRZEKONAĆ SAMEMU :)","Zgłosiłem się do sklepu po dobór obrączek ślubnych oraz bransoletki męskiej! Pani Barbara jest świetna! Nie dość, że zostałem obsłużony fachowo, szybko i z uśmiechem. To jeszcze ów Pani dysponuje ogromną wiedzą w zakresie jubilerstwa i wytłumaczyła mi w temacie dbania o biżuterię absolutnie wszystko :) Zdecydowanie polecam!","Szybka, fachowa obsługa. Bardzo uprzejma Pani. Chętnie wrócimy.",,,,"jewelry_store, store, finance, point_of_interest, establishment",,50.8416614,16.4889807
"M.B. Jubiler","74 853 63 56","Franciszkańska 3, 58-100 Świdnica, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–14:00, niedziela: Zamknięte",,,,,,,,"jewelry_store, point_of_interest, store, establishment",,50.8437606,16.4866023
"DBIJOU - Pracownia Jubilerska","736 946 248","Bytomska 149, 41-940 Piekary Śląskie, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: 09:00–13:00, niedziela: Zamknięte",https://dbijou.pl/,"Po le can ko! Bardzo dobre wykonanie, fajny kontakt, przesympatyczni ludzie. Szybko, profesjonalnie, przede wszystkim wysokiej jakości materiały. Doradzą, etc. Nie ma co się zastanawiać tylko dzwonić i dogadywać szczegóły, czy na miejscu czy na odległość całkowicie bez żadnego problemu.","Z początku moją opinia o firmie była bardzo mieszana, natomiast odkąd moim tematem zajął się pan Kamil B. to wszystkie negatywy przerodził w pozytywy, polecam, a szczególnie tą osobę.","polecam, pierścionek dla zony wyszedł super ;-)","swietna rodzina firma, polecam serdecznie :-)",,,"jewelry_store, store, point_of_interest, establishment",,50.3825336,18.9434919
"Jubiler Skutnik Skutnik24","699 902 481","Śląska 5, 41-943 Piekary Śląskie, Polska","poniedziałek: 09:00–16:30, wtorek: 09:00–16:30, środa: 09:00–16:30, czwartek: 09:00–16:30, piątek: 09:00–16:30, sobota: 09:00–13:00, niedziela: Zamknięte",http://skutnik24.pl/,"Kupiłem dzisiaj pierścionek. Obsługa bardzo miła i kompetentna. Byłem kilka razy klientem i zawsze byłem zadowolony. Duży wybór. Polecam wszystkim.","Na specjalne zyczenie dalem zrobic wisior i dostalem cacko 😉","Polecam. Najlepszy jubiler w okolicy. Duży wybór, fachowe doradztwo, dobre ceny, szybkie naprawy. Polecam","Najlepszy jubiler w mieście (a może i wszystkich sąsiednich!)! Po wejściu i pokazaniu zerwanego łańcuszka Pani od razu wiedziała jak zawieszka była zawieszona (co się nie zdarza często ;)). Pełen profesjonalizm, szybka obsługa, widać, że starają się o klientów. Komunikacja SMSem  w niejasnych sytuacjach. Jeszcze cennik bardzo przyjemny. Nic dodać nic ująć!","Malutki jubiler, ale konkretna obsługa.  Co tam idę to zawsze jest kolejka przed wejściem. Coś musi być na rzeczy. Pani Małgorzata dobrze doradzi. Bardzo dobre ceny i duży wybór. Polecam",,"jewelry_store, point_of_interest, store, establishment",,50.3892001,18.9603538
